Year,Code,Area,Cancer Type,Age-Adjusted Rate,Case Count,Population,per_100k
2005,CO,Colorado,Cervix,6.5,154,2308238,6.67
2005,CT,Connecticut,Cervix,6.1,119,1802068,6.60
2005,DE,Delaware,Cervix,8.6,38,435227,8.73
2005,DC,District of Columbia,Cervix,13,39,299613,13.02
2005,FL,Florida,Cervix,9.7,942,9117950,10.33
2005,GA,Georgia,Cervix,8.3,379,4555263,8.32
2005,HI,Hawaii,Cervix,6.2,44,644813,6.82
2005,ID,Idaho,Cervix,7.8,54,711983,7.58
2005,IL,Illinois,Cervix,8.8,580,6423831,9.03
2005,IN,Indiana,Cervix,8,258,3191481,8.08
2005,IA,Iowa,Cervix,7.3,109,1503019,7.25
2005,KS,Kansas,Cervix,8,110,1387958,7.93
2005,KY,Kentucky,Cervix,9.5,212,2129658,9.95
2005,LA,Louisiana,Cervix,9.5,214,2263201,9.46
2005,ME,Maine,Cervix,6.8,47,674104,6.97
2005,MD,Maryland,Cervix,8.1,244,2891761,8.44
2005,MA,Massachusetts,Cervix,6.1,213,3309010,6.44
2005,MI,Michigan,Cervix,7.3,379,5114320,7.41
2005,MN,Minnesota,Cervix,6.3,168,2579546,6.51
2005,MS,Mississippi,Cervix,9.7,144,1482601,9.71
2005,MO,Missouri,Cervix,8.2,251,2962870,8.47
2005,MT,Montana,Cervix,3.7,20,469780,4.26
2005,NE,Nebraska,Cervix,7.5,64,889468,7.20
2005,NV,Nevada,Cervix,10,122,1198846,10.18
2005,NH,New Hampshire,Cervix,7.5,51,657932,7.75
2005,NJ,New Jersey,Cervix,8.6,412,4443545,9.27
2005,NM,New Mexico,Cervix,8.8,83,978520,8.48
2005,NY,New York,Cervix,9.1,961,9887467,9.72
2005,NC,North Carolina,Cervix,8.2,382,4457189,8.57
2005,ND,North Dakota,Cervix,5.6,18,321543,5.60
2005,OH,Ohio,Cervix,8.2,500,5876703,8.51
2005,OK,Oklahoma,Cervix,8.6,158,1796475,8.80
2005,OR,Oregon,Cervix,6.1,116,1823447,6.36
2005,PA,Pennsylvania,Cervix,8,536,6405053,8.37
2005,PR,Puerto Rico,Cervix,10.1,202,1986644,10.17
2005,RI,Rhode Island,Cervix,8.6,48,552832,8.68
2005,SC,South Carolina,Cervix,7.8,177,2192345,8.07
2005,SD,South Dakota,Cervix,8.5,30,389021,7.71
2005,TN,Tennessee,Cervix,9.1,288,3068439,9.39
2005,TX,Texas,Cervix,10,1113,11467895,9.71
2005,United States,United States,Cervix,8.3,12803,150319521,8.52
2005,UT,Utah,Cervix,6.6,67,1224741,5.47
2005,VT,Vermont,Cervix,6.4,23,315422,7.29
2005,VA,Virginia,Cervix,7.2,288,3863646,7.45
2005,WA,Washington,Cervix,7.1,225,3145396,7.15
2005,WV,West Virginia,Cervix,11.1,109,927690,11.75
2005,WI,Wisconsin,Cervix,6.5,186,2797061,6.65
2005,WY,Wyoming,Cervix,7.1,18,253726,7.09
2006,AL,Alabama,Cervix,8.1,199,2385480,8.34
2006,AK,Alaska,Cervix,9.3,32,325121,9.84
2006,AZ,Arizona,Cervix,7.8,228,3026134,7.53
2006,ArKS,Arkansas,Cervix,9.6,140,1438428,9.73
2006,CA,California,Cervix,8.2,1475,18097471,8.15
2006,CO,Colorado,Cervix,7.7,182,2352960,7.73
2006,CT,Connecticut,Cervix,6.5,126,1807675,6.97
2006,DE,Delaware,Cervix,9.3,43,442766,9.71
2006,DC,District of Columbia,Cervix,9,27,301322,8.96
2006,FL,Florida,Cervix,9.7,957,9280080,10.31
2006,GA,Georgia,Cervix,7.6,357,4670606,7.64
2006,HI,Hawaii,Cervix,9.1,60,652351,9.20
2006,ID,Idaho,Cervix,7.9,55,732104,7.51
2006,IL,Illinois,Cervix,8.9,587,6440022,9.11
2006,IN,Indiana,Cervix,8.5,279,3218203,8.67
2006,IA,Iowa,Cervix,7,110,1511124,7.28
2006,KS,Kansas,Cervix,6,83,1394092,5.95
2006,KY,Kentucky,Cervix,9,202,2149096,9.40
2006,LA,Louisiana,Cervix,9.3,206,2204072,9.35
2006,ME,Maine,Cervix,6.6,49,676157,7.25
2006,MD,Maryland,Cervix,6.9,207,2907963,7.12
2006,MA,Massachusetts,Cervix,6.2,222,3311185,6.70
2006,MI,Michigan,Cervix,7.5,390,5106621,7.64
2006,MN,Minnesota,Cervix,5.9,155,2600951,5.96
2006,MS,Mississippi,Cervix,10.5,157,1496313,10.49
2006,MO,Missouri,Cervix,8.2,253,2987563,8.47
2006,MT,Montana,Cervix,6.3,31,475341,6.52
2006,NE,Nebraska,Cervix,5.7,52,894687,5.81
2006,NV,Nevada,Cervix,9,118,1243993,9.49
2006,NH,New Hampshire,Cervix,7.1,50,662773,7.54
2006,NJ,New Jersey,Cervix,9.6,457,4448099,10.27
